연간 예산	annual budget
대출이자	interest on a loan
연이자율	annual interest rate
확정이자	fixed interest
땅을 파다	dig in the ground
깊이 파다	dig deep
굴을 파다	dig a tunnel
테러 방지	antiterrorism
범죄 방지	the prevention of crime
공통분모	a common denominator
공통의 적	a common enemy
들이마시다	inhale, breathe in, sniff / gulp something down
꽉 쥐다	grasp something firmly
꽉 잡아	hold on tight!
학술 잡지	an academic journal
원자핵	the nucleus of an atom
세포핵	a cell nucleus
올리브유	olive oil
해바라기유	sunflower oil
지역구	a local constituency
선거구	an electoral district
일회용장갑	disposable gloves
고무장갑	rubber gloves
가죽장갑	leather gloves
개구리 알	frog spawn
권투장갑	boxing gloves
화학작용	chemical reaction
심리 작용	a mental process
병원 원장	a director of a hospital
비주류	nonmainstream, fringe group
비공식	unofficial, informal
비회원	non-member
비범하다	to be extraordinary
시비	right and[or] wrong
가구 세트	a furniture set
비인간적	inhuman
비상 계단	emergency staircase
만족스러운	satisfactory
비전문적	unprofessional
비공개	closed, private
비인기	unpopular
비협조적	uncooperative
비정상	not normal, abnormal, unusual
만족시키다	satisfy
비무장지대	DMZ, demilitarized zone
비상구	emergency exit
인종 차별	racism
멀리 가다	go a long way
건너편 집	the house opposite[over the way, across the street]
민완 형사	a competent detective
너구리	racoon
기념우표	a commemorative stamp
로제 와인	rose wine
달빛	moonlight, moonbeam
다락방	loft / attic
레드 와인	red wine
적극 외교	active[positive] diplomacy
형사반장	a detective squad chief
전업 주부	a full-time homemaker
영양학자	a nutritionist
독감주사	flu shot
주방 기구	kitchen utensils
원고 마감	the deadline for the manuscript
빚을 지다	be in debt (to)
빚을 갚다	pay off a debt
강제로	forcibly
형 / 型	type (hanja)
리	unit of distance (393m)
1차 산업	primary industry
우수한 질	excellent[superior] quality
3차 산업	tertiary industry
국내 산업	domestic industry
현대 미술	modern art
현대 영어	current[present-day] English
최신 기술	the latest[up-to-date] technology
분석 기술	analytical skill
기본 기술	basic skill
신생기업	start-up company
장기 방안	long term plan (not 계획)
첫 직장	one's first job
담을 쌓다	build a wall (not 벽 or 담벽)
째려보지마	Don't glare
레이저	laser
단기 방안	short term plan (not 계획)
동료 직원	co-worker / colleague
부하 직원	a subordinate / junior staff
담벽	wall (not part of a building) (more common) (not 벽 or 담벽)
담을 넘다	climb[jump] over a wall (not 벽 or 담벽)
이 뿌리	the root of a tooth
주택 지구	residential area
상업 영어	business[commercial] English
눈물방울	a teardrop
이슬 방울	a dewdrop
상업 지구	a business area
공식 행사	official ceremony
국제 행사	international events
활과 화살	a bow and arrow
생활 용품	living necessities / daily supplies
흙을 파다	dig up earth
한국사	Korean history
심한 부상	a serious injury
양이 증가	an increase in quantity (not 늘다)
양이 적다	There is a small amount
양이 늘다	increase in quantity
양이 줄다	diminish in quantity
양이 많다	There is a large amount
청소도구	cleaning equipment
캠퍼스커플	college sweethearts
낙태 수술	abortion
성형 수술	plastic surgery
권위 있는	prestigious
수술도구	surgical instruments
연구 분야	a field[an area] of study
전염병	infectious disease / epidemic
분자 구조	molecular structure
정치 구조	political structure
열차 운행	train service
부근	neighborhood, vicinity
경영 구조	management structure
경제 구조	economic structure
마약검사	drugs test
볶은 땅콩	roasted peanuts
혈액검사	blood test
지방방송국	a local station
적성검사	aptitude test
바늘과 실	a needle and thread
신간 서적	newly published book
수입 시장	import market
경신	breaking the record
신학기	new semester
신기록	new record
습기	humidity / moisture
신병	rookie soldier
갱신	modification
신입	new employee (short)
신혼	newly wed, the first few years of married life
신입 사원	new employee (longer)
부시 정부	the Bush Administration
모순	contradiction / inconsistency
노조	union, trade union, labour union
임금 인상	wage increase
최저임금	minimum wage
기본임금	basic wage
교육 예산	education budget
정부 예산	government budget
빙판	ice, icy road, frozen road
그림엽서	a picture postcard
후년	the year after next
중간 시험	midterm exam
뒷마당	a back garden
훔친 물건	stolen goods[things]
제 / 提	suggest / propose (hanja)
라켓	racket (sports)
라이벌	rival
리포터	reporter
저널리스트	journalist (not _자)
계약조건	terms of a contract
앞마당	a front garden
법원 명령	a court order
적은 벌금	a small fine
짙은 향기	strong scent
꽃향기	the scent of a flower
항의 데모	a protest demonstration[parade]
항의서	letter of complaint
벌을 주다	punish
과한 벌	an excessive punishment
디스크	disc, disk
하드디스크	a hard drive[disk]
심한 더위	intense heat
해외 취업	overseas employment
발을 끊다	to stop visiting
발이 넓다	to be well connected
제조 과정	a process of manufacture
발전 과정	a process of development
싸다	wrap (up) / pack (up)
짐을 싸다	pack one's suitcase
뒷 바퀴	back wheels
중형	medium size
앞 바퀴	front wheels
발로 뛰다	to work hard in the field
투자 심리	investment confidence
상담심리학	counseling psychology
나쁜 소식	bad[sad, ill, unwelcome] news
기쁜 소식	good/joyful news
잔인한 짓	a cold-blooded act
배를 젓다	row[paddle] a boat
한구석에	in a corner[nook]
강북 지역	the area[district] north of the Han river
이민 비자	an immigrant visa
발달심리학	developmental psychology
소비 심리	consumer confidence
행동심리학	behavioral psychology
동시	at the same time, at once, simultaneously /  as well as, at the same time
전자 저울	an electronic scale
마찰	friction, rubbing / friction, trouble
공기 마찰	air friction
낮 근무	day shift
야간 근무	night work[shift]
점점 줄다	dwindle
적당	suitable, appropriate, moderate
근무 중에	while on duty
깊은 애정	deep affections
일등 선객	a first-class passenger
잔인	cruelty, brutality, atrocity, inhumanity
입원 환자	an inpatient
기도	prayer
생산 관리	production control
임시 직원	a temporary employee
당황하다	be embarrassed, be flustered, be taken aback
박사 학위	Ph.D. / Doctorate
소나무 숲	a grove of pine trees
학사 학위	Bachelor's degree
동굴 입구	the mouth of a cave
임시로	temporarily
이치	logic (not _리), reason
고지방	high-fat
식품 과학	food science
품질 관리	quality control
가려진 눈	blindfolded eyes
화학 실험	a chemical experiment
실험 재료	materials for experiments
가려지다	be covered with
시간 관리	time management
평균 수입	the average income
핵실험	a nuclear test
민주당원	a Democrat
민속무용	folk dance
위기 관리	crisis management
식품 오염	food contamination
논두렁길	a footpath between rice fields
탈골하다	dislocate a bone
민속놀이	folk game
마주 서다	stand[come] face to face
입 / 入	to enter / to put in (hanja)
낮 공연	daytime performance / matinee performance
항구 입구	the mouth of a harbor
어둠 속에	in the dark
큰일이네요	That’s not good / That’s a big problem
게살	crab meat
엷은 담요	a thin blanket
동서남북	north, south, east and west
불에 녹다	melt in a fire
걱정 돼요	I'm worried / It worries me
피를 뽑다	draw blood
불안해요	I am anxious / I feel nervous
손이 녹다	one´s hands warm up
6년 과정	a course of six years
무선 로봇	wireless robot
돌을 줍다	pick up a stone
항공우편	airmail
성을 쌓다	build a castle
과학 단지	science complex
비만해지다	become obese
끈을 묶다	tie a string
끈을 풀다	untie a string
파란 하늘	a blue sky
비교분석	comparative analysis
땅바닥	the ground
미터법	metric system
신비스럽다	mysterious (longer)
신비롭다	mysterious (shorter)
뜻밖	unexpectedly / surprisingly
대를 잇다	carry on a family line
평균수명	average life expectancy
과외 활동	extracurricular activities
과외 수업	extra classes
고함	yell, shout (n.)
수백 명	several hundred people (not 몇_)
개인 대출	personal loan
장기 대출	long-term loan
국산 차	domestically made car
시를 짓다	write[compose] a poem
뼈를 잇다	set a bone
재미 교포	overseas Korean in the USA
재일 교포	overseas Korean in Japan
인구 감소	a decrease in population
짝을 짓다	make a pair
최고 간부	the top executives
강 맞은편	the other side of the river
낯설다	unfamiliar
백제	Baekje (old Korean kingdom)
기혼 여성	a married woman
단감	a sweet persimmon
익은 감	a ripe persimmon
수학 공식	a mathematical formula
공식 통계	official statistics
통계학자	a statistician
힘줄	tendon (less formal)
건 파열	tendon rupture
들어주다	agree to, grant (not __들__)
흐린 영상	a blurred image
장기 계획	long-term plan
단기 계획	short-term plan
기대	expectation, anticipation
각방면으로	in every direction
일기 예보	weather forecast (longer)
정기예금	fixed term deposit
예금이자율	deposit interest rate
예금이자	deposit interest
여행 작가	travel writer
구속 해제	removal of restrictions
일반석	general admission seat
예약석	reserved seat
-석	seat (word ending)
기계공업	machinery industries
공업 지역	a manufacturing area
우울해지다	become depressed
전세 들다	rent a house (room) on a deposit basis
전세 놓다	lease a house[room] on a deposit basis
전세 계약	house lease contract
주요 공업	key industries
백색 인종	the white race[people]
맞벌이부부	double-income[two-paycheck] couple
현대무용	modern dance
시각 신호	an optical signal
의미 있는	significant, meaningful
이중턱	a double chin
배경 화가	a scene painter
깜짝이야	Oh gosh! (Shock and surprise)
해가 지다	the sun sets
이웃 마을	neighboring village
라인	line (Konglish)
마을가	the outskirts of a town
생활 방식	one's lifestyle, the way one lives (two words)
준결승전	semi final (longer)
준결승	semi final (shorter)
4강	semi final (using a number)
경영 방식	style of management
사업 방식	business method
결승전	final game (longer)
궁극적으로	ultimately, eventually, in the long run
단기 대책	short-term measures
비상 대책	emergency[urgent] measures
예방 대책	preventative[precautionary] measures
임시 대책	temporary[interim] measures
판단력	judgement (longer)
상온	room temperature
보관하다	to keep something safe
물품보관소	place to leave your stuff in a deptartment store
보수파	conservative (political)
보수공사	repair work (buildings)
가치 없는	valueless, worthless
가치 있는	valuable, worthy
보 / 保	protect / guard / guarantee (hanja)
쪼개다	split (wood, fruit, time, atom etc.)
동메달	bronze medal
등록금	registration fee
등록증	registration certificate
피를 빨다	suck up blood
법의 적용	the application of a law
바른 절차	correct procedure
신청	application, request, subscription
설문조사	survey (longer)
전자밥솥	electric rice cooker
기본 규칙	fundamental rule
기본 단어	basic words[vocabulary]
법적 절차	legal procedure
공룡	dinosaur
결혼기념일	a wedding anniversary
최신 정보	latest information
살인 사건	murder case
사방에서	from every direction
판매중	for sale
세일중	on sale (discount)
화장솜	cotton wool things to remove makeup
침을 뱉다	spit
매 맞다	to be beaten
세계 지도	world map
역사 지도	historical map
짙은 밤색	dark brown
조립식	self-assembly
아래턱	lower jaw
턱을 들다	lift one's chin
밤을 따다	pick chestnuts
밤을 줍다	gather[pick up] chestnuts
놀란 표정	a surprised look
책을 덮다	close a book
체질	(physical) constitution
반하다	be against / be in contrast to
희귀종	rare species
비난	criticism
희귀	rare
희귀병	rare dieases
윗입술	the upper[top] lip
터진 입술	chapped lips
실망	Disappointment
임신 중에	during pregnancy
소화 과정	the digestive processes
언어학자	linguist
천지창조	the Creation
익명의	anonymous
역사학자	historian
만장일치	unanimous
화학조미료	MSG
해녀	a woman diver for gathering seafoods
유물론적	materialistic
엄친달	slang for a dream woman, someone your mother wishes you could be. Used to compare. Sometimes used for female idols.
멘봉	slang for mind blown.
속어	slang
어장관리	action for one when is using someone for things like free dinners, etc.
석가탄신일	Buddha's Birthday
마다하다	refuse, reject, decline, turn down
기근	famine
확증	conclusive evidence, positive proof
모피	fur
견과류	nut products
유통기한	shelf life, expiration date
개방적이다	to be open, frank
가공식품	processed food
제철과일	in-season fruit
부스럼	boil, abscess
특가	a special price
폐점	closing (store)
모호하다	to be vague; ambiguous
전기충격기	taser, stun gun
이민자	immigrant
수업 조교	teaching assistant
장기기증	organ donation
수장되다	to be buried at sea
진보적이다	to be liberal, progressive
발급하다	to issue
모국어	one's native language
인맥	personal connections
사망률	death rate
천민	the lowest class of people
필기시험	a written examination
노비	slave, servant
피동사	passive verb
유제품	dairy products
출산율	birthrate
전문대	Junior College
편집하다	to edit, revise
향수병	homesickness
육포	beef jerky
양반	upper classes in old Korea
고집쟁이	a stubborn person
반의어	antonym
모조품	imitation, replica
간략하다	to be brief, simple, short
친일	pro-Japanese
헌금	(mass) offering, collection, offertory
반듯하다	to be straightened, square (posture, clothing, features, etc.)
중간고사	mid-term exam
예외하다	to make an exception
세계사	world history
실기시험	performance[practical, skill] test, practical examination
재활용하다	recycle
안식처	a place to find peace, a refuge, a place to rest, a resting place
외도	affair
이성적이다	to be reasonable, rational
한일	Korea and Japan
자아 발견	self-discovery
모르게	without knowing, without meaning to + V
무직이다	to be unemployed
개꿈	silly dream
잘록하다	to be slender, to be narrow (waist)
팔방미인	well-rounded person, jack-of-all-trades (usually women)
대인관계	interpersonal relationships
도끼병	~someone thinks everyone likes them
근육질	muscularity
이목구비	facial features (ears, eyes, mouth, and nose)
대범하다	to be  broad-minded, big-minded, generous
직설적	straightforward (in talking)
엄친아	Slang for a dream man, someone your mother wishes you could be. Used to compare. Sometimes used for male idols.
쇄골	the collarbone, the clavicle
귓볼	earlobe
목젖	adam's apple
노안	old-looking face
동양적	eastern
서양적	western
아찔하다	dizzy
낙천적	optimist
옆구리살	side fat
침침하다	to be dim, gloomy, poorly lit
곱슬머리	curly hair
구레나룻	sideburns
복부지방	stomach fat
직감적	intuitive, gut-feeling
말다툼하다	to have a spat, dispute
면담하다	have a face-to-face talk
주량	drinking capacity
악용하다	to make illicit use of, wrongly use, abuse smthg
공립	public
청력	hearing
학연	one's school ties[connections]
오용하다	to misuse
오심	wrong (refereeing) decision, bad call
시력검사	eyesight test
표절하다	to plagiarize
합성어	compound word
식은땀	a cold sweat
입가심하다	to get rid of an after taste
합숙	training camp
할퀴다	scratch
철 지난	last season
파상풍	tetanus
신기루	mirage
추락하다	to fall to earth
침수	flooding
흉가	haunted house
송금하다	to wire, send money
상기시키다	to remind sb about/of
전치사	preposition
미묘하다	to be delicate, subtle, fine
타짜	a dishonest gambler, a card cheat
가보	a family treasure; an heirloom
은밀하다	to be confidential, private, secret
항아리	a jar, pot
은닉하다	to conceal, hide
귀마개	earplug
전기 장판	electric blanket
방수	waterproof
왕복하다	round trip
빈손	empty hands
여위다	lose (one's) weight; become lean[thin]; grow[become] gaunt
당선되다	to be elected
계모	a stepmother
물증	real evidence
심증	a strong belief, conviction, an impression
여의다	to be bereaved of, lose, marry off
과반수	the greater part, the majority, a majority
한눈팔다	look at something else
특보	a special report; special news
계약직	contract employee
임시 휴교	a temporary school closing
수학여행	field trip
주폭	drunk fighting
견학	tour, observation (museum, factory, etc.)
안전거리	safety distance
속보	breaking news
대설	heavy snow
뇌우	a thunderstorm; a thundershower
파랑주의보	a high sea warning
호우	Heavy Rain / Downpour
기단	an air mass
여우비	a light rain while the sun shines; a sun-shower
폭우	a heavy rain, a torrential rain
주의보	advisory; warning
가랑비	Drizzle
한파	cold wave
온화하다	to be mild-tempered
멋쟁이	stylish person
엿새	6 days
이레	7 days
여드레	8 days
아흐레	9 days (Native Korean)
퇴직하다	to retire
점검하다	to inspect, to check
퇴사하다	retire/leave a company
뜨개질	knitting
달팽이	snail
고심하다	to fret over
수정하다	to adjust, revise, amend
공통적으로	commonly
마감일	deadline, cutoff, due date
동명사	gerrund
조립하다	to assemble
발행하다	publish, issue, bring out, put into circulation
상장	certificate of merit, certificate of commendation, certificate of award
위생	sanitation, hygiene, cleanliness
주목하다	to notice, pay attention to
배열하다	arrange
운전석	driver's seat
중형차	midsize car, midsize vehicle
경차	small car, compact car, light-weight vehicle
막아내다	stop, prevent, ward off
제출	submission (of sth)
흡수하다	to absorb
집중력	one's ability to concentration
파래지다	turn/become green/blue/pale
한지	korean handmade paper
친근감	intimacy, feeling of closeness
마주 보다	face each other
소형차	compact car, small car, (Am) compact
휴계소	resting place
창출하다	Create
대형차	full size car
건방지다	conceited, cheeky, cocky
팽창하다	to expand, inflate, increase
압권	the best part, highlight, climax
상법	commercial law
놀이다	tease, provoke, make fun of
(이)나	used when one chooses to do something for no strong reason and one knows one can do better.
게 하다	used to make someone do something or become something
지도 않다	not even...(+verb)
더라도	even if, even though
조차	even + noun
(으)려는	~ intending to
(으)므로	used in writing as an equivalent of '-(으)니까'
중으로	within a certain amount of time
삼각대	tripod
유창하다	to be fluent
수세미	scrub brush
가정하다	to hypothesize; to suppose
정의하다	to define
공감하다	to sympathize
생산적이다	to be productive
무관하다	To be irrelevant, unrelated
이발기	hair clippers
자물쇠	lock
가망	hope; possibility
맹목적	blind, unconditional
외동	only child
취급하다	treat, deal with
머금다	keep[hold] sth in one's mouth
통금시간	curfew hour
막막하다	I don't know what to do
회갑	one's 60th birthday
성인식	coming-of-age ceremony
격주로	biweekly
혈액형	blood type
풍물	institutions and customs
참고서	reference book
중지	middle finger
약지	ring finger
이가 썩다	to have a cavity (in a tooth)
검지	index finger
소독약	disinfectant, antiseptic
진통제	painkiller
수면제	sleeping medicine
비뇨기과	urology
목이 쉬다	have a hoarse throat (estar ronco)
간염	hepatitis
빈혈	anemia
불규칙적	irregular
더부룩하다	bloated
잠꼬대	talking in your sleep
생리통	menstral cramps
딸꾹질	Hiccup
창백하다	to be pale, white, ashen, gray, pallid
불면증	insomnia, sleeplessness
가족력	family history
선천적	innate, inborn, congenital
후천적	acquired
요통	backache, lumbago, lumbar pain
치통	toothache
알레르기	allergy
척추	backbone, spine
깨물다	bite|gnaw|crunch
속눈썹	Eyelash
잇몸	gums
성형외과	plastic surgery
틀니	dentures
식도	esophagus
똥배	potbelly
종아리	calf
꼬리뼈	occyx, tailbone
인종주의	racism
좌천되다	to be demoted
누락되다	to be left out, omitted
충고하다	to advise; to warn; to admonish
경쟁하다	compete, rival, contest
여드름	acne
학문적	academic
과잉 반응	overreaction
의기	spirits, feelings
실용적인	practical
눈에 띄게	noticeably, obviously
공격적이다	to be aggressive
당뇨병	diabetes
엄지손가락	thumb
관절	a bodily joint
벼락	thunderstrike
실내장식	interior decoration
탄수화물	carbohydrate
휴학하다	to take a break (from school)
대서양	Atlantic Ocean
일컫다	to call (to name)
배낭여행	backpacking trip
외향적이다	to be outgoing, extroverted
노처녀	an unmarried older woman
이기적이다	to be selfish
무심하다	To be indifferent, inattentive
내성적	introspective, reflective
아부하다	flatter, adulate
도보	on foot
연금	pension
육상경기	Track and field
모범생	exemplary student
성적표	grades (trapscript/report card)
주위 사람	close acquaintances, people surrounding a person
가출하다	run away from home
복학하다	to return to school (after temporary absence)
건강 관리	health care
뒤집히다	to be turned inside out
절충하다	to compromise, negotiate
살인자	killer
익사하다	to meet with a watery grave
바람맞다	to be stood up
약올리다	to provoke, irritate, wind up
숨바꼭질	hide and seek
카투사	Korean Augmentation To the United States Army
은유	metaphor
고환	testicles
고진감래	No pain, no gain
사회 문제	social problems
해외 연수	overseas study and training
출연자	cast
지사장	branch manager
방청객	audience
문구류	stationary (paper)
졸업장	degree, diploma
출금하다	To withdraw money
	undefined
암벽 등반	rock-climbing
수료하다	to finish or complete a course
후문	back gate
수업하다	to give lessons
비관적	pessimistic, gloomy, discouraged, dark
평지	flatland
사고방식	way of thinking
봤자	~even if/of no use
승낙	consent|assent|agreement
속이좁다	narrow-minded
송년회	end of year party
조리대	kitchen counter
코를 골다	to snore
변명하다	to explain, make an excuse
서류 가방	briefcase
걸레질하다	to mop
쓰레기봉지	trash bag
욕심쟁이	avaricious person
나무꾼	lumberjack, woodcutter
신령님	guardian spirit
뒷자리	backseat (in a car)
하루하루	day after day
갖고 가다	to take something and go (shortened 가지고 가다)
은테	silver frame (glasses)
도끼	axe; hatchet
사례금	reward money
네모나다	to be square-shaped
기부하다	contribute, donate (money, possessions)
친환경	eco-friendly
흥얼거리다	hum, sing to oneself
복날	the dog days of summer
암산	mental calculation; to calculate in one's head
소용없다	To be useless
시간 낭비	wasted time
문신	a tattoo
전자레인지	microwave
화질	good (picture) quality screen
입금하다	to deposit money, to send money (by wire transfer)
무이자	no interest (loan, credit)
택배비	delivery fee
신용 카드	credit card
음성 기능	voice function
반복 기능	repeat function
건조 기능	dryer function (in a combo washer/dryer)
녹음 기능	recording function
면도기	electric shaver
건강식품	health food
영양제	nutrition supplements
한약	Chinese herbal medicine
3일치	three days of medicine
정신 건강	mental health
찬 음식	cold food
약을 짓다	to make medicine
위염	gastritis
자극적	stimulative
접수처	registration desk
았/었더니	used when an unexpected result occurs from something experienced in the past
더라고요	used to convey a fact discovered from past experience
이비인후과	ear, nose, throat clinic
한우	korean beef
여러 군데	many places
향이 좋다	to smell good
해가 뜨다	to rise (sunrise)
어시장	fresh fish market
대나무	Bamboo
인내	patience, perseverance
방과후	after school
얼만큼	how much
무한하다	To be infinite, limitless
무공해	pollution-free, clean
전동차	electrically powered vehicle
대여료	rent
매표 시간	box office hours
공공장소	public place
영화 상영	movie showing
통행	passing
안내 방송	an announcement
대여	lending
관람객	spectator
분리수거함	a recycling container
매수	number of tickets
소인	child
대여하다	to lend
승차권	transportation ticket
구매 시	at the time of purchase
재발급하다	to re-issue
환전	exchange of money (currency exchange)
떼어 내다	to tear away
배편	surface mail (by ship)
보통 우편	regular post
빠른 우편	express mail
고지서	a bill
질투하다	to be jealous
기획하다	to (make a) plan, work out a scheme
3년차	3 years of experience
돈이 들다	to cost money
뜨는 직업	up and coming career
주 5일제	5-day work week
사회 경험	social experience
여행상품	package holiday
문의하다	to inquire
동남아	south east asia
경험자	experienced person
구인 광고	a job advertisement
인턴사원	intern
정식 사원	a regular employee
일반 업무	general duties
원산지	a origin of a product; a origin
치실	floss
한정식	traditional Korean food
희망 사항	wish
관람하다	to look around (a museum, gallery)
구입 시기	time of purchase
파워 버튼	on/off button
인쇄하다	to print
원본	original copy
플러그	plug
~던데	sentence ending denoting one's disagreement based on prior experience
이만큼	This much, this amount
그런가 봐	I guess so (based on assumptions)
과식	overeating, excessive eating
시식	sample food, food sampling
데리러 와	~come and get me
~거든요	You see, (because) [sentence ending]
낙관적	optimistic, positive, (formal) sanguine
짱	Best, super (noun); very, really (adverb)
이성 친구	a love interest
파마머리	permed hair
단발머리	bobbed, short shair
갸름하다	oval (as in face)
사교적이다	to be sociable
대신(에)	~instead of
세뱃돈	new year's gift of money to juniors
환송회	farewell party
영정	a portrait of the deceased
빈소	mourning room
조의금	condolence money
부장님	department manager
피로연	reception
축의금	congratulatory money
~자마자	as soon as~
으면서	~doing two things simultaneously
전기 요금	electricity rates
추첨	to pick, draw lots
2인 1실	2 persons, 1 room
수도 요금	water rates
가스 요금	gas rates
-잖아	you know
유학원	agency for studying abroad
비가 새다	to leak rain
반씩 내다	to pay a bill 50/50
공동생활	living with others
가족적	family-like (relationship)
지불 방법	terms of payment
불친절하다	to be unfriendly
주택가	a residential area
주변 환경	nearby amenities
긴 하다	used to express one's own opinions which are different from what would be expected "It's true that, but..."
방학 중	during the school vacation
학기 중	during the school term
국제학교	international school
느낀 점	what one felt
수목원	arboretum; botanic garden
국악	Korean traditional music
안내지	an invitation (on paper); letter containing guidance/information
당연하지	of course (반말)
다다음 주	two weeks from now
반납	return
엠티	membership training
반납일	the return date
이용 규칙	terms of use
보건실	school infirmary
컴퓨터실	computer lab
주위에	~around
탁구장	table tennis room
꽤 되다	~ it's been a while now
촬영하다	to film
교환 학생	exchange student
실제 생활	real life (situation)
역할극	a role play
베를린	Berlin
인데	adds supplementary information about someone/something that is introduced
네요	used to express surprise about a new fact someone sees, hears, or realizes
언어 교환	language exchange
신문 기자	journalist/newspaper reporter
해외 출장	an oversea's business trip
만리장성	the Great Wall of China
자기소개	self-introduction
아/참	Hey (you know what?)
신입 회원	a new member
한평생	A lifetime
식기	An eating vessel
구15	Ward or  district
위로	consolation, solace
가정교사	Private tutor
소지품	one’s things
백인	Caucasian
현관문	The front door
이별	Parting, separation; divorce
기23	A flag or  a banner
전선	The battle line
기성08	To be already existing or  established
대비	Provision, preparation
전후	sequence, order, front and rear
육군	The army
방해	An obstacle, hindrance
년생80	Year of birth
쾌감	A pleasant sensation, a good feeling
염려	anxiety, worry
실제	The truth, a fact
주의	attention, notice
기기13	Machinery and tools
관찰	Observation or  survey
말기	The end, final period
검토	An examination or  investigation or  study
지지	support, backing
경고	Warning
분노	rage, anger
선장	A captain
기13	1) energy  2) breath or  wind
전	all, every
주장	assertion, insistance
즐거워하다	To enjoy it
피로하다	To be fatigued, weary
